productid,product_name,year_month,inventory_level,sales_units,storage_cost_pln_per_unit_month,shelf_life_months,lead_time_months,safety_stock_months,price_pln_per_unit,plan_2023_units,plan_2024_units,plan_2025_units,plan_2023_pln,plan_2024_pln,plan_2025_pln,price_pln_per_unit_plan,date
P001,Product 001,202504,46.0,46.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-04-01
P001,Product 001,202505,1.0,45.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-05-01
P001,Product 001,202506,237.0,52.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-06-01
P001,Product 001,202507,160.0,77.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-07-01
P001,Product 001,202508,93.0,67.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-08-01
P001,Product 001,202509,31.0,62.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-09-01
P001,Product 001,202510,392.0,55.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-10-01
P001,Product 001,202511,349.0,43.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-11-01
P001,Product 001,202512,310.0,39.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2025-12-01
P002,Product 002,202301,200.0,34.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-01-01
P002,Product 002,202302,171.0,29.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-02-01
P002,Product 002,202303,137.0,34.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-03-01
P002,Product 002,202304,108.0,29.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-04-01
P002,Product 002,202305,80.0,28.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-05-01
P002,Product 002,202306,48.0,32.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-06-01
P002,Product 002,202307,11.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-07-01
P002,Product 002,202308,240.0,34.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-08-01
P002,Product 002,202309,201.0,39.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-09-01
P002,Product 002,202310,174.0,27.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-10-01
P002,Product 002,202311,146.0,28.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-11-01
P002,Product 002,202312,113.0,33.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-12-01
P002,Product 002,202401,69.0,44.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-01-01
P002,Product 002,202402,32.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-02-01
P002,Product 002,202403,4.0,28.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-03-01
P002,Product 002,202404,265.0,33.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-04-01
P002,Product 002,202405,230.0,35.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-05-01
P002,Product 002,202406,199.0,31.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-06-01
P002,Product 002,202407,162.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-07-01
P002,Product 002,202408,129.0,33.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-08-01
P002,Product 002,202409,97.0,32.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-09-01
P002,Product 002,202410,56.0,41.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-10-01
P002,Product 002,202411,31.0,25.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-11-01
P002,Product 002,202412,2.0,29.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-12-01
P002,Product 002,202501,230.0,30.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-01-01
P002,Product 002,202502,200.0,30.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-02-01
P002,Product 002,202503,169.0,31.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-03-01
P002,Product 002,202504,132.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-04-01
P002,Product 002,202505,91.0,41.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-05-01
P002,Product 002,202506,51.0,40.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-06-01
P002,Product 002,202507,21.0,30.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-07-01
P002,Product 002,202508,284.0,35.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-08-01
P002,Product 002,202509,246.0,38.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-09-01
P002,Product 002,202510,209.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-10-01
P002,Product 002,202511,166.0,43.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-11-01
P002,Product 002,202512,134.0,32.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2025-12-01
P003,Product 003,202301,232.0,67.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-01-01
P003,Product 003,202302,170.0,62.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-02-01
P003,Product 003,202303,102.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-03-01
P003,Product 003,202304,47.0,55.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-04-01
P003,Product 003,202305,302.0,57.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-05-01
P003,Product 003,202306,243.0,59.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-06-01
P003,Product 003,202307,182.0,61.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-07-01
P003,Product 003,202308,100.0,82.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-08-01
P003,Product 003,202309,22.0,78.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-09-01
P003,Product 003,202310,328.0,64.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-10-01
P003,Product 003,202311,260.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-11-01
P003,Product 003,202312,209.0,51.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-12-01
P003,Product 003,202401,144.0,65.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-01-01
P003,Product 003,202402,76.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-02-01
P003,Product 003,202403,306.0,78.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-03-01
P003,Product 003,202404,236.0,70.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-04-01
P003,Product 003,202405,165.0,71.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-05-01
P003,Product 003,202406,95.0,70.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-06-01
P003,Product 003,202407,25.0,70.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-07-01
P003,Product 003,202408,326.0,53.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-08-01
P003,Product 003,202409,263.0,63.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-09-01
P003,Product 003,202410,181.0,82.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-10-01
P003,Product 003,202411,105.0,76.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-11-01
P003,Product 003,202412,33.0,72.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-12-01
P003,Product 003,202501,350.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-01-01
P003,Product 003,202502,276.0,74.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-02-01
P003,Product 003,202503,218.0,58.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-03-01
P003,Product 003,202504,167.0,51.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-04-01
P003,Product 003,202505,103.0,64.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-05-01
P003,Product 003,202506,30.0,73.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-06-01
P003,Product 003,202507,277.0,69.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-07-01
P003,Product 003,202508,199.0,78.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-08-01
P003,Product 003,202509,128.0,71.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-09-01
P003,Product 003,202510,60.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-10-01
P003,Product 003,202511,344.0,82.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-11-01
P003,Product 003,202512,264.0,80.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2025-12-01
P004,Product 004,202301,518.0,98.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-01-01
P004,Product 004,202302,407.0,111.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-02-01
P004,Product 004,202303,299.0,108.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-03-01
P004,Product 004,202304,155.0,144.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-04-01
P004,Product 004,202305,790.0,95.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-05-01
P004,Product 004,202306,652.0,138.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-06-01
P004,Product 004,202307,535.0,117.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-07-01
P004,Product 004,202308,392.0,143.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-08-01
P004,Product 004,202309,255.0,137.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-09-01
P004,Product 004,202310,144.0,111.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-10-01
P004,Product 004,202311,800.0,128.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-11-01
P004,Product 004,202312,684.0,116.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-12-01
P004,Product 004,202401,567.0,117.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-01-01
P004,Product 004,202402,454.0,113.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-02-01
P004,Product 004,202403,321.0,133.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-03-01
P004,Product 004,202404,197.0,124.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-04-01
P004,Product 004,202405,31.0,166.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-05-01
P004,Product 004,202406,703.0,175.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-06-01
P004,Product 004,202407,543.0,160.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-07-01
P004,Product 004,202408,443.0,100.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-08-01
P004,Product 004,202409,337.0,106.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-09-01
P004,Product 004,202410,194.0,143.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-10-01
P004,Product 004,202411,78.0,116.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-11-01
P004,Product 004,202412,682.0,130.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-12-01
P004,Product 004,202501,568.0,114.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-01-01
P004,Product 004,202502,431.0,137.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-02-01
P004,Product 004,202503,285.0,146.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-03-01
P004,Product 004,202504,180.0,105.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-04-01
P004,Product 004,202505,56.0,124.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-05-01
P004,Product 004,202506,692.0,116.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-06-01
P004,Product 004,202507,531.0,161.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-07-01
P004,Product 004,202508,414.0,117.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-08-01
P004,Product 004,202509,278.0,136.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-09-01
P004,Product 004,202510,136.0,142.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-10-01
P004,Product 004,202511,755.0,173.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-11-01
P004,Product 004,202512,615.0,140.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2025-12-01
P005,Product 005,202301,100.0,35.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-01-01
P005,Product 005,202302,69.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-02-01
P005,Product 005,202303,38.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-03-01
P005,Product 005,202304,173.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-04-01
P005,Product 005,202305,143.0,30.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-05-01
P005,Product 005,202306,103.0,40.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-06-01
P005,Product 005,202307,67.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-07-01
P005,Product 005,202308,31.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-08-01
P005,Product 005,202309,191.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-09-01
P005,Product 005,202310,163.0,28.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-10-01
P005,Product 005,202311,124.0,39.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-11-01
P005,Product 005,202312,95.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-12-01
P005,Product 005,202401,59.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-01-01
P005,Product 005,202402,32.0,27.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-02-01
P005,Product 005,202403,155.0,33.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-03-01
P005,Product 005,202404,124.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-04-01
P005,Product 005,202405,94.0,30.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-05-01
P005,Product 005,202406,56.0,38.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-06-01
P005,Product 005,202407,30.0,26.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-07-01
P005,Product 005,202408,151.0,37.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-08-01
P005,Product 005,202409,115.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-09-01
P005,Product 005,202410,84.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-10-01
P005,Product 005,202411,48.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-11-01
P005,Product 005,202412,19.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-12-01
P005,Product 005,202501,152.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-01-01
P005,Product 005,202502,121.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-02-01
P005,Product 005,202503,87.0,34.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-03-01
P005,Product 005,202504,55.0,32.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-04-01
P005,Product 005,202505,24.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-05-01
P005,Product 005,202506,159.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-06-01
P005,Product 005,202507,121.0,38.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-07-01
P005,Product 005,202508,91.0,30.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-08-01
P005,Product 005,202509,63.0,28.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-09-01
P005,Product 005,202510,36.0,27.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-10-01
P005,Product 005,202511,150.0,30.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-11-01
P005,Product 005,202512,124.0,26.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2025-12-01
P006,Product 006,202301,139.0,27.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-01-01
P006,Product 006,202302,104.0,35.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-02-01
P006,Product 006,202303,57.0,47.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-03-01
P006,Product 006,202304,28.0,29.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-04-01
P006,Product 006,202305,139.0,39.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-05-01
P006,Product 006,202306,105.0,34.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-06-01
P006,Product 006,202307,71.0,34.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-07-01
P006,Product 006,202308,33.0,38.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-08-01
P006,Product 006,202309,124.0,52.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-09-01
P006,Product 006,202310,88.0,36.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-10-01
P006,Product 006,202311,27.0,61.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-11-01
P006,Product 006,202312,173.0,55.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2023-12-01
P006,Product 006,202401,112.0,61.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-01-01
P006,Product 006,202402,78.0,34.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-02-01
P006,Product 006,202403,20.0,58.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-03-01
P006,Product 006,202404,189.0,37.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-04-01
P006,Product 006,202405,125.0,64.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-05-01
P006,Product 006,202406,63.0,62.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-06-01
P006,Product 006,202407,23.0,40.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-07-01
P006,Product 006,202408,202.0,45.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-08-01
P006,Product 006,202409,38.0,164.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-09-01
P006,Product 006,202410,353.0,19.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-10-01
P006,Product 006,202411,286.0,67.0,0.89,14,3,0.9,35.65,452,748,479,16113.8,26666.2,17076.35,35.65,2024-11-01
