productid,product_name,year_month,inventory_level,sales_units,storage_cost_pln_per_unit_month,shelf_life_months,lead_time_months,safety_stock_months,price_pln_per_unit,plan_2023_units,plan_2024_units,plan_2025_units,plan_2023_pln,plan_2024_pln,plan_2025_pln,price_pln_per_unit_plan,date,year,monthly_revenue,inventory_carrying_cost,annual_sales,average_inventory,average_monthly_demand,excess_inventory,inventory_turnover,lead_time_demand,reorder_point,expiration_risk
P001,Product 001,202311,274.0,58.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-11-01,2023,1195.96,93.16,632.0,146.0,53.0,216.0,4.328767123287672,159.0,227.0,4453.92
P001,Product 001,202312,231.0,43.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2023-12-01,2023,886.66,78.54,632.0,146.0,53.0,188.0,4.328767123287672,159.0,227.0,3876.56
P001,Product 001,202401,178.0,53.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-01-01,2024,1092.86,60.52,641.0,158.0,53.0,125.0,4.056962025316456,159.0,227.0,2577.5
P001,Product 001,202402,143.0,35.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-02-01,2024,721.7,48.62,641.0,158.0,53.0,108.0,4.056962025316456,159.0,227.0,2226.96
P001,Product 001,202403,99.0,44.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-03-01,2024,907.28,33.66,641.0,158.0,53.0,55.0,4.056962025316456,159.0,227.0,1134.1
P001,Product 001,202404,44.0,55.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-04-01,2024,1134.1,14.96,641.0,158.0,53.0,-11.0,4.056962025316456,159.0,227.0,-226.82
P001,Product 001,202405,0.0,44.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-05-01,2024,907.28,0.0,641.0,158.0,53.0,-44.0,4.056962025316456,159.0,227.0,-907.28
P001,Product 001,202406,229.0,61.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-06-01,2024,1257.82,77.86,641.0,158.0,53.0,168.0,4.056962025316456,159.0,227.0,3464.1600000000003
P001,Product 001,202407,148.0,81.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-07-01,2024,1670.22,50.32,641.0,158.0,53.0,67.0,4.056962025316456,159.0,227.0,1381.54
P001,Product 001,202408,89.0,59.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-08-01,2024,1216.58,30.26,641.0,158.0,53.0,30.0,4.056962025316456,159.0,227.0,618.6
P001,Product 001,202409,43.0,46.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-09-01,2024,948.52,14.62,641.0,158.0,53.0,-3.0,4.056962025316456,159.0,227.0,-61.86
P001,Product 001,202410,366.0,53.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-10-01,2024,1092.86,124.44,641.0,158.0,53.0,313.0,4.056962025316456,159.0,227.0,6454.06
P001,Product 001,202411,303.0,63.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-11-01,2024,1299.06,103.02,641.0,158.0,53.0,240.0,4.056962025316456,159.0,227.0,4948.8
P001,Product 001,202412,256.0,47.0,0.34,20,3,0.7,20.62,486,695,543,10021.32,14330.9,11196.66,20.62,2024-12-01,2024,969.14,87.04,641.0,158.0,53.0,209.0,4.056962025316456,159.0,227.0,4309.58
P002,Product 002,202301,200.0,34.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-01-01,2023,341.02,40.0,384.0,136.0,32.0,166.0,2.823529411764706,64.0,53.0,1664.9799999999998
P002,Product 002,202302,171.0,29.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-02-01,2023,290.87,34.2,384.0,136.0,32.0,142.0,2.823529411764706,64.0,53.0,1424.26
P002,Product 002,202303,137.0,34.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-03-01,2023,341.02,27.4,384.0,136.0,32.0,103.0,2.823529411764706,64.0,53.0,1033.09
P002,Product 002,202304,108.0,29.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-04-01,2023,290.87,21.6,384.0,136.0,32.0,79.0,2.823529411764706,64.0,53.0,792.37
P002,Product 002,202305,80.0,28.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-05-01,2023,280.84,16.0,384.0,136.0,32.0,52.0,2.823529411764706,64.0,53.0,521.56
P002,Product 002,202306,48.0,32.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-06-01,2023,320.96,9.6,384.0,136.0,32.0,16.0,2.823529411764706,64.0,53.0,160.48
P002,Product 002,202307,11.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-07-01,2023,371.11,2.2,384.0,136.0,32.0,-26.0,2.823529411764706,64.0,53.0,-260.78
P002,Product 002,202308,240.0,34.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-08-01,2023,341.02,48.0,384.0,136.0,32.0,206.0,2.823529411764706,64.0,53.0,2066.18
P002,Product 002,202309,201.0,39.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-09-01,2023,391.17,40.2,384.0,136.0,32.0,162.0,2.823529411764706,64.0,53.0,1624.86
P002,Product 002,202310,174.0,27.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-10-01,2023,270.81,34.8,384.0,136.0,32.0,147.0,2.823529411764706,64.0,53.0,1474.41
P002,Product 002,202311,146.0,28.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-11-01,2023,280.84,29.2,384.0,136.0,32.0,118.0,2.823529411764706,64.0,53.0,1183.54
P002,Product 002,202312,113.0,33.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2023-12-01,2023,330.99,22.6,384.0,136.0,32.0,80.0,2.823529411764706,64.0,53.0,802.4
P002,Product 002,202401,69.0,44.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-01-01,2024,441.32,13.8,405.0,106.0,34.0,25.0,3.820754716981132,68.0,57.0,250.75
P002,Product 002,202402,32.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-02-01,2024,371.11,6.4,405.0,106.0,34.0,-5.0,3.820754716981132,68.0,57.0,-50.15
P002,Product 002,202403,4.0,28.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-03-01,2024,280.84,0.8,405.0,106.0,34.0,-24.0,3.820754716981132,68.0,57.0,-240.72
P002,Product 002,202404,265.0,33.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-04-01,2024,330.99,53.0,405.0,106.0,34.0,232.0,3.820754716981132,68.0,57.0,2326.96
P002,Product 002,202405,230.0,35.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-05-01,2024,351.05,46.0,405.0,106.0,34.0,195.0,3.820754716981132,68.0,57.0,1955.85
P002,Product 002,202406,199.0,31.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-06-01,2024,310.93,39.8,405.0,106.0,34.0,168.0,3.820754716981132,68.0,57.0,1685.04
P002,Product 002,202407,162.0,37.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-07-01,2024,371.11,32.4,405.0,106.0,34.0,125.0,3.820754716981132,68.0,57.0,1253.75
P002,Product 002,202408,129.0,33.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-08-01,2024,330.99,25.8,405.0,106.0,34.0,96.0,3.820754716981132,68.0,57.0,962.88
P002,Product 002,202409,97.0,32.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-09-01,2024,320.96,19.4,405.0,106.0,34.0,65.0,3.820754716981132,68.0,57.0,651.9499999999999
P002,Product 002,202410,56.0,41.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-10-01,2024,411.23,11.2,405.0,106.0,34.0,15.0,3.820754716981132,68.0,57.0,150.45
P002,Product 002,202411,31.0,25.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-11-01,2024,250.75,6.2,405.0,106.0,34.0,6.0,3.820754716981132,68.0,57.0,60.17999999999999
P002,Product 002,202412,2.0,29.0,0.2,22,2,1.2,10.03,347,376,360,3480.41,3771.28,3610.8,10.03,2024-12-01,2024,290.87,0.4,405.0,106.0,34.0,-27.0,3.820754716981132,68.0,57.0,-270.81
P003,Product 003,202301,232.0,67.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-01-01,2023,2412.67,220.4,772.0,183.0,64.0,165.0,4.218579234972678,64.0,58.0,5941.65
P003,Product 003,202302,170.0,62.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-02-01,2023,2232.62,161.5,772.0,183.0,64.0,108.0,4.218579234972678,64.0,58.0,3889.08
P003,Product 003,202303,102.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-03-01,2023,2448.68,96.9,772.0,183.0,64.0,34.0,4.218579234972678,64.0,58.0,1224.34
P003,Product 003,202304,47.0,55.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-04-01,2023,1980.55,44.65,772.0,183.0,64.0,-8.0,4.218579234972678,64.0,58.0,-288.08
P003,Product 003,202305,302.0,57.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-05-01,2023,2052.57,286.9,772.0,183.0,64.0,245.0,4.218579234972678,64.0,58.0,8822.449999999999
P003,Product 003,202306,243.0,59.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-06-01,2023,2124.59,230.85,772.0,183.0,64.0,184.0,4.218579234972678,64.0,58.0,6625.839999999999
P003,Product 003,202307,182.0,61.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-07-01,2023,2196.61,172.9,772.0,183.0,64.0,121.0,4.218579234972678,64.0,58.0,4357.21
P003,Product 003,202308,100.0,82.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-08-01,2023,2952.82,95.0,772.0,183.0,64.0,18.0,4.218579234972678,64.0,58.0,648.18
P003,Product 003,202309,22.0,78.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-09-01,2023,2808.78,20.9,772.0,183.0,64.0,-56.0,4.218579234972678,64.0,58.0,-2016.56
P003,Product 003,202310,328.0,64.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-10-01,2023,2304.64,311.6,772.0,183.0,64.0,264.0,4.218579234972678,64.0,58.0,9506.64
P003,Product 003,202311,260.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-11-01,2023,2448.68,247.0,772.0,183.0,64.0,192.0,4.218579234972678,64.0,58.0,6913.92
P003,Product 003,202312,209.0,51.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2023-12-01,2023,1836.51,198.55,772.0,183.0,64.0,158.0,4.218579234972678,64.0,58.0,5689.58
P003,Product 003,202401,144.0,65.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-01-01,2024,2340.65,136.8,838.0,163.0,70.0,79.0,5.141104294478527,70.0,64.0,2844.79
P003,Product 003,202402,76.0,68.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-02-01,2024,2448.68,72.2,838.0,163.0,70.0,8.0,5.141104294478527,70.0,64.0,288.08
P003,Product 003,202403,306.0,78.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-03-01,2024,2808.78,290.7,838.0,163.0,70.0,228.0,5.141104294478527,70.0,64.0,8210.279999999999
P003,Product 003,202404,236.0,70.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-04-01,2024,2520.7,224.2,838.0,163.0,70.0,166.0,5.141104294478527,70.0,64.0,5977.66
P003,Product 003,202405,165.0,71.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-05-01,2024,2556.71,156.75,838.0,163.0,70.0,94.0,5.141104294478527,70.0,64.0,3384.94
P003,Product 003,202406,95.0,70.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-06-01,2024,2520.7,90.25,838.0,163.0,70.0,25.0,5.141104294478527,70.0,64.0,900.25
P003,Product 003,202407,25.0,70.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-07-01,2024,2520.7,23.75,838.0,163.0,70.0,-45.0,5.141104294478527,70.0,64.0,-1620.4499999999998
P003,Product 003,202408,326.0,53.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-08-01,2024,1908.53,309.7,838.0,163.0,70.0,273.0,5.141104294478527,70.0,64.0,9830.73
P003,Product 003,202409,263.0,63.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-09-01,2024,2268.63,249.85,838.0,163.0,70.0,200.0,5.141104294478527,70.0,64.0,7202.0
P003,Product 003,202410,181.0,82.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-10-01,2024,2952.82,171.95,838.0,163.0,70.0,99.0,5.141104294478527,70.0,64.0,3564.99
P003,Product 003,202411,105.0,76.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-11-01,2024,2736.76,99.75,838.0,163.0,70.0,29.0,5.141104294478527,70.0,64.0,1044.29
P003,Product 003,202412,33.0,72.0,0.95,15,1,1.1,36.01,599,849,818,21569.99,30572.49,29456.18,36.01,2024-12-01,2024,2592.72,31.35,838.0,163.0,70.0,-39.0,5.141104294478527,70.0,64.0,-1404.39
P004,Product 004,202301,518.0,98.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-01-01,2023,2765.56,347.06,1446.0,469.0,120.0,420.0,3.0831556503198296,360.0,257.0,11852.4
P004,Product 004,202302,407.0,111.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-02-01,2023,3132.42,272.69,1446.0,469.0,120.0,296.0,3.0831556503198296,360.0,257.0,8353.119999999999
P004,Product 004,202303,299.0,108.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-03-01,2023,3047.76,200.33,1446.0,469.0,120.0,191.0,3.0831556503198296,360.0,257.0,5390.02
P004,Product 004,202304,155.0,144.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-04-01,2023,4063.68,103.85,1446.0,469.0,120.0,11.0,3.0831556503198296,360.0,257.0,310.42
P004,Product 004,202305,790.0,95.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-05-01,2023,2680.9,529.3,1446.0,469.0,120.0,695.0,3.0831556503198296,360.0,257.0,19612.9
P004,Product 004,202306,652.0,138.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-06-01,2023,3894.36,436.84,1446.0,469.0,120.0,514.0,3.0831556503198296,360.0,257.0,14505.08
P004,Product 004,202307,535.0,117.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-07-01,2023,3301.74,358.45,1446.0,469.0,120.0,418.0,3.0831556503198296,360.0,257.0,11795.96
P004,Product 004,202308,392.0,143.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-08-01,2023,4035.46,262.64,1446.0,469.0,120.0,249.0,3.0831556503198296,360.0,257.0,7026.78
P004,Product 004,202309,255.0,137.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-09-01,2023,3866.14,170.85,1446.0,469.0,120.0,118.0,3.0831556503198296,360.0,257.0,3329.96
P004,Product 004,202310,144.0,111.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-10-01,2023,3132.42,96.48,1446.0,469.0,120.0,33.0,3.0831556503198296,360.0,257.0,931.26
P004,Product 004,202311,800.0,128.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-11-01,2023,3612.16,536.0,1446.0,469.0,120.0,672.0,3.0831556503198296,360.0,257.0,18963.84
P004,Product 004,202312,684.0,116.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2023-12-01,2023,3273.52,458.28,1446.0,469.0,120.0,568.0,3.0831556503198296,360.0,257.0,16028.96
P004,Product 004,202401,567.0,117.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-01-01,2024,3301.74,379.89,1583.0,379.0,132.0,450.0,4.176781002638522,396.0,283.0,12699.0
P004,Product 004,202402,454.0,113.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-02-01,2024,3188.86,304.18,1583.0,379.0,132.0,341.0,4.176781002638522,396.0,283.0,9623.02
P004,Product 004,202403,321.0,133.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-03-01,2024,3753.26,215.07,1583.0,379.0,132.0,188.0,4.176781002638522,396.0,283.0,5305.36
P004,Product 004,202404,197.0,124.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-04-01,2024,3499.28,131.99,1583.0,379.0,132.0,73.0,4.176781002638522,396.0,283.0,2060.06
P004,Product 004,202405,31.0,166.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-05-01,2024,4684.52,20.77,1583.0,379.0,132.0,-135.0,4.176781002638522,396.0,283.0,-3809.7
P004,Product 004,202406,703.0,175.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-06-01,2024,4938.5,471.01,1583.0,379.0,132.0,528.0,4.176781002638522,396.0,283.0,14900.16
P004,Product 004,202407,543.0,160.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-07-01,2024,4515.2,363.81,1583.0,379.0,132.0,383.0,4.176781002638522,396.0,283.0,10808.26
P004,Product 004,202408,443.0,100.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-08-01,2024,2822.0,296.81,1583.0,379.0,132.0,343.0,4.176781002638522,396.0,283.0,9679.46
P004,Product 004,202409,337.0,106.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-09-01,2024,2991.32,225.79,1583.0,379.0,132.0,231.0,4.176781002638522,396.0,283.0,6518.82
P004,Product 004,202410,194.0,143.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-10-01,2024,4035.46,129.98,1583.0,379.0,132.0,51.0,4.176781002638522,396.0,283.0,1439.22
P004,Product 004,202411,78.0,116.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-11-01,2024,3273.52,52.26,1583.0,379.0,132.0,-38.0,4.176781002638522,396.0,283.0,-1072.36
P004,Product 004,202412,682.0,130.0,0.67,12,3,1.4,28.22,1024,1920,1693,28897.28,54182.4,47776.46,28.22,2024-12-01,2024,3668.6,456.94,1583.0,379.0,132.0,552.0,4.176781002638522,396.0,283.0,15577.44
P005,Product 005,202301,100.0,35.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-01-01,2023,2958.9,147.0,393.0,108.0,33.0,65.0,3.638888888888889,66.0,37.0,5495.1
P005,Product 005,202302,69.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-02-01,2023,2620.74,101.43,393.0,108.0,33.0,38.0,3.638888888888889,66.0,37.0,3212.5200000000004
P005,Product 005,202303,38.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-03-01,2023,2620.74,55.86,393.0,108.0,33.0,7.0,3.638888888888889,66.0,37.0,591.7800000000001
P005,Product 005,202304,173.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-04-01,2023,2451.66,254.31,393.0,108.0,33.0,144.0,3.638888888888889,66.0,37.0,12173.76
P005,Product 005,202305,143.0,30.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-05-01,2023,2536.2,210.21,393.0,108.0,33.0,113.0,3.638888888888889,66.0,37.0,9553.02
P005,Product 005,202306,103.0,40.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-06-01,2023,3381.6,151.41,393.0,108.0,33.0,63.0,3.638888888888889,66.0,37.0,5326.02
P005,Product 005,202307,67.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-07-01,2023,3043.44,98.49,393.0,108.0,33.0,31.0,3.638888888888889,66.0,37.0,2620.74
P005,Product 005,202308,31.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-08-01,2023,3043.44,45.57,393.0,108.0,33.0,-5.0,3.638888888888889,66.0,37.0,-422.7000000000001
P005,Product 005,202309,191.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-09-01,2023,2451.66,280.77,393.0,108.0,33.0,162.0,3.638888888888889,66.0,37.0,13695.48
P005,Product 005,202310,163.0,28.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-10-01,2023,2367.12,239.61,393.0,108.0,33.0,135.0,3.638888888888889,66.0,37.0,11412.9
P005,Product 005,202311,124.0,39.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-11-01,2023,3297.06,182.28,393.0,108.0,33.0,85.0,3.638888888888889,66.0,37.0,7185.900000000001
P005,Product 005,202312,95.0,29.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2023-12-01,2023,2451.66,139.65,393.0,108.0,33.0,66.0,3.638888888888889,66.0,37.0,5579.64
P005,Product 005,202401,59.0,36.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-01-01,2024,3043.44,86.73,390.0,81.0,32.0,23.0,4.814814814814815,64.0,36.0,1944.42
P005,Product 005,202402,32.0,27.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-02-01,2024,2282.58,47.04,390.0,81.0,32.0,5.0,4.814814814814815,64.0,36.0,422.7000000000001
P005,Product 005,202403,155.0,33.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-03-01,2024,2789.82,227.85,390.0,81.0,32.0,122.0,4.814814814814815,64.0,36.0,10313.88
P005,Product 005,202404,124.0,31.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-04-01,2024,2620.74,182.28,390.0,81.0,32.0,93.0,4.814814814814815,64.0,36.0,7862.22
P005,Product 005,202405,94.0,30.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-05-01,2024,2536.2,138.18,390.0,81.0,32.0,64.0,4.814814814814815,64.0,36.0,5410.56
P005,Product 005,202406,56.0,38.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-06-01,2024,3212.52,82.32,390.0,81.0,32.0,18.0,4.814814814814815,64.0,36.0,1521.72
P005,Product 005,202407,30.0,26.0,1.47,12,2,1.8,84.54,333,406,321,28151.82,34323.24,27137.34,84.54,2024-07-01,2024,2198.04,44.1,390.0,81.0,32.0,4.0,4.814814814814815,64.0,36.0,338.16
